Protein1,Protein2,Level
MRPS10,RPL30,Level_02
MRPS10,MRPL18,Level_02
MRPS10,MRPL3,Level_02
MRPS10,ERAL1,Level_02
MRPS10,RPL5,Level_02
MRPS10,MRPS26,Level_02
MRPS10,RPL19,Level_02
MRPS10,RPS18,Level_02
MRPS10,RPL34,Level_02
MRPS10,MRPL54,Level_02
MRPS10,PTCD3,Level_02
MRPS10,RPL35,Level_02
MRPS10,MRPL49,Level_02
MRPS10,RACK1,Level_02
MRPS10,RPL15,Level_02
MRPS10,RPS19,Level_02
MRPS10,RPL23,Level_02
MRPS10,RPL36,Level_02
MRPS10,MRPL13,Level_02
MRPS10,MRPL4,Level_02
MRPS10,MRPL2,Level_02
MRPS10,MRTO4,Level_02
MRPS10,RPS10,Level_02
MRPS10,MRPL32,Level_02
MRPS10,RPL13,Level_02
MRPS10,MRPS27,Level_02
MRPS10,RPL9,Level_02
MRPS10,MRPS30,Level_02
MRPS10,RPL18,Level_02
MRPS10,RPS21,Level_02
MRPS10,IMP3,Level_02
MRPS10,RPS24,Level_02
MRPS10,RPL11,Level_02
MRPS10,TUFM,Level_02
MRPS10,RPS27L,Level_02
MRPS10,MRPL44,Level_02
MRPS10,NSA2,Level_02
MRPS10,hCG_1984214,Level_02
MRPS10,MRPL11,Level_02
MRPS10,MRPL30,Level_02
MRPS10,MRPL24,Level_02
MRPS10,CUL7,Level_02
MRPS10,RPS3,Level_02
MRPS10,RPS3A,Level_02
MRPS10,MRPL16,Level_02
MRPS10,MRPL22,Level_02
MRPS10,AURKAIP1,Level_02
MRPS10,RPLP0,Level_02
MRPS10,MTIF2,Level_02
MRPS10,MRPS17,Level_02
MRPS10,EIF1AY,Level_02
MRPS10,PDCD11,Level_02
MRPS10,MRPL41,Level_02
MRPS10,FAU,Level_02
MRPS10,MRPL15,Level_02
MRPS10,MRPL40,Level_02
MRPS10,RPL29,Level_02
MRPS10,RPL38,Level_02
MRPS10,MRPL20,Level_02
MRPS10,RPS23,Level_02
MRPS10,MRPL1,Level_02
MRPS10,RPS9,Level_02
MRPS10,METTL17,Level_02
MRPS10,MRPS21,Level_02
MRPS10,PPP1R26,Level_02
MRPS10,MRPL10,Level_02
MRPS10,MRRF,Level_02
MRPS10,MRPL38,Level_02
MRPS10,RPLP2,Level_02
MRPS10,MRPL47,Level_02
MRPS10,RPL21,Level_02
MRPS10,MRPL48,Level_02
MRPS10,MRPL42,Level_02
MRPS10,MRPL46,Level_02
MRPS10,TSFM,Level_02
MRPS10,MRPS18B,Level_02
MRPS10,RPL18A,Level_02
MRPS10,MRPL43,Level_02
MRPS10,RPS26,Level_02
MRPS10,TFB1M,Level_02
MRPS10,EIF1AX,Level_02
MRPS10,GFM1,Level_02
MRPS10,MRPL27,Level_02
MRPS10,MRPS34,Level_02
MRPS10,MRPL58,Level_02
MRPS10,RPL35A,Level_02
MRPS10,RPS27,Level_02
MRPS10,RPL28,Level_02
MRPS10,RPL31,Level_02
MRPS10,MRPL9,Level_02
MRPS10,MRPL23,Level_02
MRPS10,MRPS18C,Level_02
MRPS10,MRPL34,Level_02
MRPS10,CHCHD1,Level_02
MRPS10,RPS11,Level_02
GRN,TARDBP,Level_02
GRN,SORT1,Level_02
GRN,SLPI,Level_02
VAMP3,L7N2F9_HUMAN,Level_02
VAMP3,STX7,Level_02
VAMP3,NAPA,Level_02
VAMP3,SNAP29,Level_02
VAMP3,VTI1A,Level_02
VAMP3,VAMP8,Level_02
VAMP3,STX2,Level_02
VAMP3,STX12,Level_02
VAMP3,VAMP7,Level_02
VAMP3,STX16,Level_02
VAMP3,SNX4,Level_02
VAMP3,VTI1B,Level_02
VAMP3,SYT1,Level_02
VAMP3,GOSR1,Level_02
VAMP3,STX11,Level_02
VAMP3,CPLX1,Level_02
VAMP3,STX10,Level_02
VAMP3,STX8,Level_02
VAMP3,STX1B,Level_02
VAMP3,VAMP2,Level_02
VAMP3,STX17,Level_02
PKP2,GJA1,Level_02
PKP2,SCN5A,Level_02
PKP2,DSC3,Level_02
PKP2,TMEM43,Level_02
PKP2,JUP,Level_02
PKP2,CTNNA3,Level_02
PKP2,DSG1,Level_02
INPP4A,MTMR2,Level_02
INPP4A,PIK3C2A,Level_02
INPP4A,PIKFYVE,Level_02
INPP4A,INPPL1,Level_02
INPP4A,SYNJ1,Level_02
INPP4A,INPP5A,Level_02
INPP4A,ITPK1,Level_02
INPP4A,INPP1,Level_02
INPP4A,PIK3C2B,Level_02
INPP4A,INPP5D,Level_02
INPP4A,INPP5B,Level_02
INPP4A,MTMR6,Level_02
INPP4A,PIK3C2G,Level_02
INPP4A,PTEN,Level_02
INPP4A,MTM1,Level_02
INPP4A,PIK3R2,Level_02
INPP4A,PIK3C3,Level_02
INPP4A,FIG4,Level_02
INPP4A,OCRL,Level_02
INPP4A,PIK3R1,Level_02
INPP4A,MTMR1,Level_02
INPP4A,INPP5E,Level_02
INPP4A,SYNJ2,Level_02
INPP4A,MTMR4,Level_02
GNA11,GNG2,Level_02
GNA11,ADRA1D,Level_02
GNA11,HTR2C,Level_02
GNA11,EDNRA,Level_02
GNA11,PTH1R,Level_02
GNA11,CASR,Level_02
GNA11,AVPR1A,Level_02
GNA11,HTR2B,Level_02
GNA11,ADRA1B,Level_02
GNA11,EDNRB,Level_02
GNA11,GHSR,Level_02
GNA11,ADRA1A,Level_02
GNA11,PLCB4,Level_02
GNA11,CXCR4,Level_02
GNA11,HTR2A,Level_02
GNA11,CHRM1,Level_02
GNA11,CCKAR,Level_02
GNA11,GNRHR,Level_02
GNA11,GNAQ,Level_02
GNA11,GNB1,Level_02
GNA11,PLCB2,Level_02
GNA11,AGTR1,Level_02
GNA11,PLCG1,Level_02
GNA11,GRM1,Level_02
GNA11,PLCB3,Level_02
GNA11,PLCB1,Level_02
GNA11,BDKRB2,Level_02
GNA11,CCR5,Level_02
GNA11,BDKRB1,Level_02
CREB3L3,ATF6B,Level_02
CREB3L3,CREB1,Level_02
CREB3L3,CREB3L1,Level_02
CREB3L3,GSK3B,Level_02
CREB3L3,CREB3L4,Level_02
CREB3L3,CREB3,Level_02
CREB3L3,CREB3L2,Level_02
CREB3L3,PPARGC1A,Level_02
CREB3L3,ATF4,Level_02
CREB3L3,CREB5,Level_02
CREB3L3,CRTC2,Level_02
CREB3L3,MBTPS2,Level_02
CREB3L3,MBTPS1,Level_02
CREB3L3,MAPK3,Level_02
HDAC7,MEF2A,Level_02
HDAC7,KAT5,Level_02
HDAC7,EP300,Level_02
HDAC7,FOXP3,Level_02
HDAC7,HIF1A,Level_02
HDAC7,NCOR2,Level_02
HDAC7,FOXA1,Level_02
HDAC7,NCOR1,Level_02
MRPS35,MRPL36,Level_02
MRPS35,MRPL33,Level_02
MRPS35,MRPS22,Level_02
MRPS35,MRPS18A,Level_02
MRPS35,MRPL21,Level_02
MRPS35,MRPS33,Level_02
MRPS35,MRPS25,Level_02
MRPS35,MRPL12,Level_02
MRPS35,MRPS31,Level_02
MRPS35,HIBCH,Level_02
MRPS35,MRPS28,Level_02
MRPS35,MRPS23,Level_02
MRPS35,MTIF3,Level_02
MRPS35,MRPS6,Level_02
MRPS35,MRPL17,Level_02
MRPS35,MRPS24,Level_02
MRPS35,RPS2,Level_02
MRPS35,MRPS30,Level_02
MRPS35,hCG_1984214,Level_02
MRPS35,MRPL11,Level_02
MRPS35,MRPL44,Level_02
MRPS35,TUFM,Level_02
MRPS35,MRPS12,Level_02
MRPS35,MRPL2,Level_02
MRPS35,MRPL13,Level_02
MRPS35,MRPL4,Level_02
MRPS35,MRPS27,Level_02
MRPS35,MRPL32,Level_02
MRPS35,MRPL49,Level_02
MRPS35,MRPS16,Level_02
MRPS35,RPL23,Level_02
MRPS35,ERAL1,Level_02
MRPS35,MRPL3,Level_02
MRPS35,MRPL54,Level_02
MRPS35,RPS18,Level_02
MRPS35,MRPS26,Level_02
MRPS35,MRPS21,Level_02
MRPS35,MRPL38,Level_02
MRPS35,MRPL10,Level_02
MRPS35,MRPL20,Level_02
MRPS35,METTL17,Level_02
MRPS35,RPS9,Level_02
MRPS35,MRPS17,Level_02
MRPS35,MTIF2,Level_02
MRPS35,AURKAIP1,Level_02
MRPS35,MRPL22,Level_02
MRPS35,MRPL40,Level_02
MRPS35,MRPL15,Level_02
MRPS35,MRPL41,Level_02
MRPS35,MRPS2,Level_02
MRPS35,MRPL30,Level_02
MRPS35,MRPL16,Level_02
MRPS35,MRPL34,Level_02
MRPS35,MRPS18C,Level_02
MRPS35,MRPL23,Level_02
MRPS35,RPS11,Level_02
MRPS35,CHCHD1,Level_02
MRPS35,MRPS34,Level_02
MRPS35,MRPL19,Level_02
MRPS35,MRPL58,Level_02
MRPS35,MRPL27,Level_02
MRPS35,MRPL9,Level_02
MRPS35,MRPS18B,Level_02
MRPS35,MRPL43,Level_02
MRPS35,MRPL47,Level_02
MRPS35,MRPS7,Level_02
MRPS35,MRPL42,Level_02
MRPS35,MRPL46,Level_02
APPBP2,FEM1B,Level_02
APPBP2,PRAMEF6,Level_02
APPBP2,FEM1C,Level_02
APPBP2,FEM1A,Level_02
APPBP2,PRAME,Level_02
APPBP2,ZYG11B,Level_02
APPBP2,ZER1,Level_02
APPBP2,KLHDC2,Level_02
APPBP2,ELOB,Level_02
APPBP2,KLHDC10,Level_02
APPBP2,APP,Level_02
APPBP2,PRAMEF15,Level_02
APPBP2,KLHDC3,Level_02
APPBP2,CUL2,Level_02
CD22,CD19,Level_02
CD22,CD79B,Level_02
CD22,PTPN6,Level_02
CD22,LYN,Level_02
CD22,MS4A1,Level_02
CD22,CD79A,Level_02
CD22,SYK,Level_02
CD22,CD200R1,Level_02
KCNQ1,KCNJ18,Level_02
KCNQ1,KCNE4,Level_02
KCNQ1,CALML4,Level_02
KCNQ1,KCNJ12,Level_02
KCNQ1,SCN5A,Level_02
KCNQ1,PRKACB,Level_02
KCNQ1,KCNQ3,Level_02
KCNQ1,KCNJ4,Level_02
KCNQ1,KCNJ13,Level_02
KCNQ1,KCNK5,Level_02
KCNQ1,CALM2,Level_02
KCNQ1,KCNN4,Level_02
KCNQ1,SLC12A2,Level_02
KCNQ1,KCNQ5,Level_02
KCNQ1,KCNQ4,Level_02
KCNQ1,KCNJ2,Level_02
KCNQ1,KCNH2,Level_02
KCNQ1,PRKACA,Level_02
KCNQ1,CALML3,Level_02
